run,time_relative_to_start,total_link_fraction,flow_1_link_fraction,flow_2_link_fraction,flow_3_link_fraction
R4: confined replace,-456,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-444,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-432,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-420,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-408,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-396,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-384,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-372,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-360,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-348,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-336,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-324,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-312,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-300,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-288,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-276,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-264,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-252,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-240,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-228,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-216,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-204,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-192,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-180,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-168,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-156,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-144,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-132,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-120,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-108,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-96,0.9999874727610454,0.39999141726305326,0.5999960554979922,0.0
R4: confined replace,-84,0.9996792762595634,0.399797306720282,0.5998819695392814,0.0
R4: confined replace,-72,0.9989897130379941,0.39928047779967785,0.5997092352383163,0.0
R4: confined replace,-60,0.9979825062478638,0.3991329320346868,0.598849574213177,0.0
R4: confined replace,-48,0.9964908237192318,0.3997104884696225,0.5967803352496093,0.0
R4: confined replace,-36,0.994519550607861,0.4008683704660931,0.593651180141768,0.0
R4: confined replace,-24,0.9922632535411298,0.4024144987563832,0.5898487547847465,0.0
R4: confined replace,-12,0.9899446312958367,0.4043901518807718,0.5855544794150649,0.0
R4: confined replace,0,0.9877925342062289,0.4063313106333962,0.5814612235728327,0.0
R4: confined replace,12,0.9860193764071625,0.4082395374193249,0.5777798389878376,0.0
R4: confined replace,24,0.9848001703465744,0.4098862641063483,0.5749139062402261,0.0
R4: confined replace,36,0.9842552528818591,0.4110311619669455,0.5732240909149136,0.0
R4: confined replace,48,0.9844384079117043,0.4117551113860389,0.5726832965256655,0.0
R4: confined replace,60,0.9853315578515086,0.41171763756519075,0.5736139202863179,0.0
R4: confined replace,72,0.9868465479090573,0.4111155959231165,0.5757309519859408,0.0
R4: confined replace,84,0.9888338470506706,0.4099681843317354,0.5788656627189351,0.0
R4: confined replace,96,0.991097306863759,0.4083108583057617,0.5827864485579972,0.0
R4: confined replace,108,0.993413521601296,0.4065010805299644,0.5869124410713316,0.0
R4: confined replace,120,0.9955538785524567,0.4044484576137854,0.5911054209386714,0.0
R4: confined replace,132,0.9973071223457908,0.4025487422068114,0.5947583801389794,0.0
R4: confined replace,144,0.9985218782198488,0.4009492138792398,0.5975726643406091,0.0
R4: confined replace,156,0.9993787320844245,0.399971382468939,0.5994073496154856,0.0
R4: confined replace,168,0.9998838832395451,0.39996559325256303,0.599918289986982,0.0
R4: confined replace,180,1.0000004820474928,0.39999671180213825,0.6000037702453546,0.0
R4: confined replace,192,1.000000482047493,0.3999949714175692,0.6000055106299238,0.0
R4: confined replace,204,1.0000004820474928,0.4000036673273736,0.5999968147201192,0.0
R4: confined replace,216,1.0000004820474928,0.40000107331481655,0.5999994087326763,0.0
R4: confined replace,228,1.000000482047493,0.4000045402330881,0.5999959418144049,0.0
R4: confined replace,240,1.0000004820474928,0.39999671180213825,0.6000037702453546,0.0
R4: confined replace,252,1.000000482047493,0.3999949714175692,0.6000055106299238,0.0
R4: confined replace,264,1.0000004820474928,0.4000036673273736,0.5999968147201192,0.0
R4: confined replace,276,1.0000004820474928,0.40000107331481655,0.5999994087326763,0.0
R4: confined replace,288,1.000000482047493,0.4000045402330881,0.5999959418144049,0.0
R4: confined replace,300,1.0000004820474928,0.39999671180213825,0.6000037702453546,0.0
R4: confined replace,312,1.000000482047493,0.3999949714175692,0.6000055106299238,0.0
R4: confined replace,324,1.0000004820474928,0.4000036673273736,0.5999968147201192,0.0
R4: confined replace,336,1.0000004820474928,0.40000107331481655,0.5999994087326763,0.0
R4: confined replace,348,1.000000482047493,0.4000045402330881,0.5999959418144049,0.0
R4: confined replace,360,1.0000004820474928,0.39999671180213825,0.6000037702453546,0.0
R4: confined replace,372,1.000000482047493,0.3999949714175692,0.6000055106299238,0.0
